expedientecum,consecutivocum,cantidad_cum,forma_farmaceutica,codigo_concentracion,unidad_cum,modalidad,vias_administracion,unidades_medida,familias_atc,numero_filas_fuente,numero_cantidades_ingrediente_distintas,numero_principios_activos,tipos_rol,numero_vias_administracion,numero_codigos_atc,numero_unidades_medida,numero_unidades_referencia,numero_tipos_rol,numero_actores,es_muestra_medica
1980020,7,300.0,TABLETA RECUBIERTA,A,U,IMPORTAR. SEMIELABORAR Y VENDER,ORAL,mg,M,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
20034210,8,50.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
20069166,25,50.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,N,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,1
19942450,6,20.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,N,3.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,3.0,0
20042480,187,1.0,SOLUCION ORAL,B,U,FABRICAR Y VENDER,ORAL,g,A,5.0,5.0,5.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20204275,5,5.0,SOLUCION INYECTABLE,C,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,N,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20230161,1,500.0,SOLUCION ORAL,B,ml,FABRICAR Y VENDER,ORAL,mg,B,5.0,5.0,5.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19910346,19,100.0,TABLETA RECUBIERTA,A,U,IMPORTAR Y VENDER,ORAL,mg,C,4.0,2.0,2.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20057510,5,5.0,TABLETA RECUBIERTA,A,U,FABRICAR Y VENDER,ORAL,mg,J,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19942584,7,500.0,LOCION,B,ml,FABRICAR Y VENDER,TOPICA (EXTERNA),g,D,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20061697,1,10.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20042480,35,9.0,SOLUCION ORAL,B,U,FABRICAR Y VENDER,ORAL,g,A,5.0,5.0,5.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19954360,1,10.0,SOLUCION INYECTABLE,C,U,IMPORTAR Y VENDER,INTRAVENOSA,mg,B,2.0,1.0,1.0,FABRICANTE | IMPORTADOR,1.0,1.0,1.0,1.0,2.0,2.0,0
20062603,36,600.0,TABLETA,A,U,FABRICAR Y VENDER,ORAL,mg,C,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19959700,2,30.0,SOLUCION ORAL,B,ml,FABRICAR Y EXPORTAR,ORAL,mg,A,5.0,3.0,5.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19936110,2,20.0,CAPSULA DURA,A,U,FABRICAR Y VENDER,ORAL,mg,M,1.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
19939513,103,66.0,TABLETA BUCAL,A,U,FABRICAR Y VENDER,BUCAL,mg,R,2.0,2.0,2.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,1.0,0
20030113,26,900.0,CAPSULA DURA,A,U,FABRICAR Y VENDER,ORAL,mg,A,2.0,1.0,1.0,FABRICANTE,1.0,1.0,1.0,1.0,1.0,2.0,0
